task_id,node_id,start,duration
Init-335,83,0,18
Init-336,82,0,9
Init-337,76,0,18
Init-338,84,0,2
Init-339,77,0,15
Init-340,82,0,4
Init-341,84,0,6
Init-342,84,0,20
Init-343,84,0,18
Init-344,85,0,15
Init-345,85,0,5
Init-346,85,0,9
Init-347,86,0,14
Init-348,86,0,12
Init-349,87,0,10
Init-350,87,0,17
Init-351,85,0,4
Init-352,88,0,6
Init-353,78,0,19
Init-354,88,0,15
Init-355,89,0,15
Init-356,79,0,11
Init-357,89,0,18
Init-358,89,0,17
Init-359,90,0,13
Init-360,90,0,20
Init-361,90,0,19
Init-362,83,0,10
Init-363,81,0,11
Init-364,91,0,7
Init-365,85,0,14
Init-366,86,0,2
Init-367,87,0,8
Init-368,91,0,12
Init-369,88,0,12
Init-370,90,0,6
Init-371,91,0,3
Init-372,92,0,15
Init-373,92,0,15
Init-374,92,0,5
Init-375,93,0,11
Init-376,93,0,11
Init-377,84,0,3
Init-378,87,0,8
Init-379,94,0,11
Init-380,94,0,17
Init-381,94,0,14
Init-382,95,0,13
Init-383,93,0,15
Init-384,92,0,12
Init-385,95,0,15
Init-386,95,0,2
Init-387,96,0,16
Init-388,96,0,5
Init-389,96,0,14
Init-390,97,0,12
Init-391,97,0,4
Init-392,97,0,8
Init-393,97,0,6
Init-394,98,0,10
Init-395,98,0,6
Init-396,97,0,17
Init-397,98,0,20
Init-398,99,0,12
Init-399,99,0,4
Init-400,100,0,11
Init-401,100,0,13
Init-402,99,0,16
Init-403,100,0,11
Init-404,100,0,18
Init-405,101,0,19
Init-406,101,0,8
Init-407,101,0,18
Init-408,102,0,5
Init-409,102,0,18
Init-410,102,0,16
Init-411,103,0,7
Init-412,103,0,14
Init-413,104,0,3
Init-414,104,0,5
Init-415,105,0,6
Init-416,105,0,6
Init-417,106,0,14
Init-418,102,0,4
Init-419,106,0,12
Init-420,104,0,18
Init-421,101,0,15
Init-422,107,0,11
Init-423,105,0,17
Init-424,106,0,6
Init-425,103,0,18
Init-426,102,0,6
Init-427,107,0,7
Init-428,107,0,3
Init-429,108,0,9
Init-430,108,0,16
Init-431,109,0,11
Init-432,109,0,13
Init-433,110,0,14
Init-434,110,0,6
Init-435,111,0,17
Init-436,111,0,18
Init-437,109,0,7
Init-438,111,0,6
Init-439,112,0,16
Init-440,112,0,15
Init-441,106,0,13
Init-442,113,0,13
Init-443,113,0,5
Init-444,113,0,6
Init-445,108,0,6
Init-446,114,0,2
Init-447,109,0,8
Init-448,112,0,18
Init-449,114,0,9
Init-450,115,0,9
Init-451,115,0,16
Init-452,113,0,19
Init-453,110,0,20
Init-454,115,0,11
Init-455,116,0,13
Init-456,116,0,7
Init-457,116,0,4
Init-458,114,0,3
Init-459,117,0,2
Init-460,117,0,13
Init-461,118,0,5
Init-462,118,0,13
Init-463,118,0,7
Init-464,119,0,7
Init-465,116,0,3
Init-466,119,0,8
Init-467,117,0,18
Init-468,120,0,17
Init-469,120,0,8
Init-470,121,0,12
Init-471,121,0,15
Init-472,122,0,14
Init-473,121,0,17
Init-474,122,0,10
Init-475,117,0,4
Init-476,123,0,19
Init-477,123,0,4
Init-478,124,0,11
Init-479,124,0,7
Init-480,125,0,3
Init-481,125,0,10
Init-482,119,0,14
Init-483,126,0,7
Init-484,119,0,16
Init-485,119,0,9
Init-486,126,0,20
Init-487,120,0,16
Init-488,127,0,4
Init-489,120,0,14
Init-490,127,0,9
Init-491,122,0,17
Init-492,128,0,5
Init-493,128,0,16
Init-494,123,0,17
Init-495,126,0,4
Init-496,129,0,4
Init-497,129,0,4
Init-498,130,0,7
Init-499,127,0,18
Init-500,128,0,6
Init-501,130,0,2
Init-502,130,0,13
Init-503,131,0,6
Init-504,124,0,14
Init-505,131,0,15
Init-506,125,0,4
Init-507,132,0,18
Init-508,132,0,20
Init-509,133,0,15
Init-510,122,0,18
Init-511,133,0,7
Init-512,133,0,9
Init-513,134,0,4
Init-514,134,0,19
Init-515,134,0,11
Init-516,129,0,7
Init-517,133,0,12
Init-518,127,0,4
Init-519,130,0,10
Init-520,135,0,15
Init-521,132,0,19
Init-522,135,0,17
Init-523,135,0,14
Init-524,136,0,3
Init-525,135,0,17
Init-526,136,0,6
Init-527,137,0,13
Init-528,137,0,18
Init-529,136,0,16
Init-530,137,0,9
Init-531,138,0,11
Init-532,138,0,15
Init-533,138,0,12
Init-534,139,0,17
Init-535,139,0,17
Init-536,132,0,18
Init-537,140,0,20
Init-538,140,0,11
Init-539,141,0,17
Init-540,141,0,5
Init-541,142,0,13
Init-542,142,0,14
Init-543,133,0,8
Init-544,143,0,4
Init-545,143,0,19
Init-546,144,0,5
Init-547,141,0,13
Init-548,144,0,6
Init-549,144,0,14
Init-550,136,0,6
Init-551,145,0,18
Init-552,145,0,18
Init-553,143,0,12
Init-554,146,0,11
Init-555,146,0,19
Init-556,147,0,11
Init-557,147,0,13
Init-558,146,0,15
Init-559,148,0,2
Init-560,148,0,20
Init-561,149,0,20
Init-562,149,0,14
Init-563,148,0,9
Init-564,137,0,5
Init-565,149,0,12
Init-566,150,0,8
Init-567,150,0,17
Init-568,138,0,18
Init-569,151,0,17
Init-570,151,0,16
Init-571,152,0,10
Init-572,152,0,10
Init-573,151,0,11
Init-574,153,0,17
Init-575,153,0,19
Init-576,153,0,20
Init-577,154,0,13
Init-578,154,0,11
Init-579,139,0,10
Init-580,155,0,19
Init-581,154,0,10
Init-582,155,0,20
Init-583,155,0,18
Init-584,156,0,3
Init-585,140,0,17
Init-586,142,0,2
Init-587,156,0,17
Init-588,156,0,11
Init-589,157,0,3
Init-590,145,0,9
Init-591,138,0,15
Init-592,157,0,14
Init-593,158,0,3
Init-594,144,0,5
Init-595,157,0,19
Init-596,158,0,18
Init-597,159,0,5
Init-598,159,0,10
Init-599,160,0,11
Init-600,160,0,14
Init-601,160,0,4
Init-602,161,0,7
Init-603,161,0,9
Init-604,146,0,9
Init-605,162,0,12
Init-606,161,0,2
Init-607,162,0,9
Init-608,150,0,16
Init-609,163,0,18
Init-610,163,0,11
Init-611,163,0,9
Init-612,162,0,16
Init-613,164,0,19
Init-614,164,0,8
Init-615,165,0,4
Init-616,165,0,13
Init-617,152,0,5
Init-618,150,0,18
Init-619,165,0,6
Init-620,166,0,16
Init-621,159,0,20
Init-622,166,0,16
Init-623,153,0,18
Init-624,167,0,3
Init-625,167,0,2
Init-626,168,0,8
Init-627,160,0,13
Init-628,164,0,4
Init-629,168,0,15
Init-630,166,0,15
Init-631,169,0,16
Init-632,169,0,19
Init-633,169,0,5
Init-634,170,0,18
Init-635,170,0,2
Init-636,154,0,19
Init-637,170,0,9
Init-638,171,0,6
Init-639,171,0,3
Init-640,171,0,9
Init-641,172,0,3
Init-642,172,0,3
Init-643,172,0,14
Init-644,173,0,8
Init-645,155,0,11
Init-646,173,0,12
Init-647,174,0,6
Init-648,173,0,10
Init-649,156,0,7
Init-650,174,0,3
Init-651,175,0,14
Init-652,175,0,15
Init-653,170,0,7
Init-654,176,0,11
Init-655,174,0,3
Init-656,176,0,18
Init-657,175,0,10
Init-658,177,0,4
Init-659,177,0,4
Init-660,177,0,14
Init-661,157,0,8
Init-662,178,0,12
Init-663,178,0,8
Init-664,178,0,17
Init-665,179,0,8
Init-666,179,0,19
Init-667,180,0,14
Init-668,180,0,13
Init-669,179,0,18
Init-670,181,0,17
Init-671,181,0,13
Init-672,182,0,20
Init-673,182,0,2
Init-674,182,0,20
Init-675,183,0,8
Init-676,183,0,20
Init-677,184,0,12
Init-678,184,0,17
Init-679,185,0,7
Init-680,178,0,17
Init-681,183,0,3
Init-682,161,0,3
Init-683,166,0,9
Init-684,180,0,2
Init-685,184,0,13
Init-686,166,0,17
Init-687,185,0,19
Init-688,186,0,18
Init-689,186,0,2
Init-690,187,0,5
Init-691,181,0,9
Init-692,186,0,10
Init-693,187,0,4
Init-694,188,0,20
Init-695,188,0,11
Init-696,184,0,3
Init-697,187,0,14
Init-698,189,0,2
Init-699,188,0,15
Init-700,189,0,18
Init-701,167,0,20
Init-702,190,0,4
Init-703,190,0,20
Init-704,168,0,2
Init-705,191,0,14
Init-706,188,0,20
Init-707,191,0,19
Init-708,191,0,4
Init-709,192,0,15
Init-710,192,0,12
Init-711,193,0,2
Init-712,192,0,17
Init-713,193,0,14
Init-714,194,0,20
Init-715,194,0,11
Init-716,193,0,4
Init-717,195,0,6
Init-718,195,0,5
Init-719,189,0,16
Init-720,196,0,5
Init-721,190,0,15
Init-722,196,0,18
Init-723,197,0,4
Init-724,197,0,12
Init-725,198,0,15
Init-726,198,0,19
Init-727,195,0,7
Init-728,199,0,10
Init-729,199,0,6
Init-730,191,0,10
Init-733,199,0,6
Init-743,175,0,8
Init-750,176,0,19
Init-751,194,0,13
Init-752,197,0,3
Init-754,196,0,10
Init-759,198,0,4
Init-772,182,0,8
Init-788,184,0,8
Init-792,187,0,11
Init-793,188,0,19
Init-797,192,0,19
Init-816,193,0,16
Init-867,10,0,6
Init-868,30,0,2
Init-869,69,0,10
Init-870,1,0,4
Init-871,114,0,13
Init-872,1,0,7
Init-873,75,0,5
Init-874,10,0,2
Init-875,1,0,9
Init-876,3,0,14
Init-877,16,0,19
Init-878,117,0,9
Init-879,167,0,10
Init-880,30,0,5
Init-881,10,0,18
Init-882,54,0,16
Init-883,71,0,12
Init-884,57,0,2
Init-885,189,0,20
Init-886,84,0,9
Init-888,80,0,9
Init-889,81,0,2
Init-890,82,0,2
Init-891,193,0,14
Init-892,95,0,18
Init-893,130,0,3
Init-894,148,0,4
Init-895,54,0,18
Init-897,69,0,18
Init-898,161,0,4
Init-899,57,0,6
Init-900,182,0,12
Init-903,186,0,5
Init-904,170,0,16
Init-908,86,0,11
Init-909,142,0,6
Init-910,148,0,13
Init-919,161,0,16
Init-921,142,0,7
Init-923,167,0,15
Init-926,168,0,9
Init-934,180,0,9
Init-935,180,0,3
Init-942,186,0,13
Init-945,189,0,9
Init-946,193,0,2
Init-948,9,0,12
Init-949,1,0,20
Init-950,14,0,18
Init-951,46,0,14
Init-952,14,0,12
Init-953,15,0,17
Init-954,48,0,19
Init-955,52,0,20
Init-956,18,0,11
Init-957,70,0,20
Init-958,104,0,3
Init-959,73,0,9
Init-960,14,0,6
Init-961,125,0,9
Init-962,157,0,4
Init-963,158,0,10
Init-964,136,0,4
Init-965,167,0,2
Init-966,1,0,15
Init-967,91,0,17
Init-968,172,0,14
Init-969,34,0,20
Init-970,156,0,4
Init-971,4,0,12
Init-972,171,0,12
Init-973,107,0,7
Init-974,46,0,12
Init-975,174,0,15
Init-976,116,0,7
Init-977,9,0,8
Init-978,172,0,19
